Call No,Date,Time,Equipment,Problem Description,Attended By,Time to Resolve (hrs),Status,Remarks,shift,sheet_name,machine
D20-004,2025-05-15,06:45,Pump-2,Electrical trip — overload relay,S. Kumar,3.6,Closed,Resolved by operator adjustment,Day,Cut-Off-Saw,Cut-Off-Saw
D20-005,2025-05-11,10:30,Gearbox,Water leakage in cooling system,S. Kumar,5.1,Open,Resolved by operator adjustment,Day,Cut-Off-Saw,Cut-Off-Saw
D20-006,2025-05-07,09:45,PLC-Panel,Coolant pump not starting,S. Kumar,4.7,Closed,Preventive maintenance scheduled,Day,Cut-Off-Saw,Cut-Off-Saw
D20-007,2025-05-13,11:45,Pump-1,Gear coupling worn — noise detected,P. Gupta,6.1,Closed,Temporary fix applied,Day,Cut-Off-Saw,Cut-Off-Saw
D20-008,2025-05-28,09:45,Conveyor-Drive,Air compressor pressure low,N. Das,5.7,Closed,Temporary fix applied,Day,Cut-Off-Saw,Cut-Off-Saw
D20-009,2025-05-19,06:00,Pump-1,Drive belt worn — replacement needed,N. Das,3.8,Closed,Root cause: wear and tear,Day,Cut-Off-Saw,Cut-Off-Saw
D20-010,2025-05-20,07:00,Gearbox,Emergency stop triggered — unknown cause,N. Das,5.4,Closed,Repaired and tested OK,Day,Cut-Off-Saw,Cut-Off-Saw
D20-011,2025-05-07,08:45,PLC-Panel,Hydraulic leak in main cylinder,A. Patel,6.9,Open,Preventive maintenance scheduled,Day,Cut-Off-Saw,Cut-Off-Saw
D20-012,2025-05-25,06:15,Pump-1,Gear coupling worn — noise detected,R. Sharma,3.2,Closed,Temporary fix applied,Day,Cut-Off-Saw,Cut-Off-Saw
D20-013,2025-05-29,10:45,Conveyor-Drive,Gear coupling worn — noise detected,D. Mehta,3.5,Closed,Repaired and tested OK,Day,Cut-Off-Saw,Cut-Off-Saw
D20-014,2025-05-08,07:00,Cylinder-Main,Torch height error — cutting machine,B. Reddy,7.4,Closed,Preventive maintenance scheduled,Day,Cut-Off-Saw,Cut-Off-Saw
D20-015,2025-05-24,09:45,Gearbox,Water leakage in cooling system,R. Sharma,2.5,Closed,Spare part ordered — pending,Day,Cut-Off-Saw,Cut-Off-Saw
N20-001,2025-05-14,18:30,Conveyor-Drive,PLC fault code F-204 — sensor error,B. Reddy,7.7,Open,Preventive maintenance scheduled,Night,Cut-Off-Saw,Cut-Off-Saw
N20-002,2025-05-09,21:45,PLC-Panel,Coating thickness alarm,A. Patel,6.2,Open,,Night,Cut-Off-Saw,Cut-Off-Saw
N20-003,2025-05-10,21:00,PLC-Panel,PLC fault code F-204 — sensor error,K. Yadav,1.0,Closed,Root cause: wear and tear,Night,Cut-Off-Saw,Cut-Off-Saw
N20-004,2025-05-10,23:15,Conveyor-Drive,Pipe OD out of spec — forming issue,S. Kumar,4.4,Closed,Preventive maintenance scheduled,Night,Cut-Off-Saw,Cut-Off-Saw
N20-005,2025-05-24,20:00,Gearbox,Gear coupling worn — noise detected,S. Kumar,1.1,Open,,Night,Cut-Off-Saw,Cut-Off-Saw
N20-006,2025-05-21,20:15,Cylinder-Main,Coolant pump not starting,A. Patel,4.2,Closed,Root cause: wear and tear,Night,Cut-Off-Saw,Cut-Off-Saw
N20-007,2025-05-04,20:15,Pump-2,Weld seam out of tolerance,A. Patel,6.8,Closed,Spare part ordered — pending,Night,Cut-Off-Saw,Cut-Off-Saw
N20-008,2025-05-28,18:45,Motor-A,Coating thickness alarm,B. Reddy,7.7,Open,Escalated to OEM,Night,Cut-Off-Saw,Cut-Off-Saw
N20-009,2025-05-12,20:45,Cylinder-Main,Drive belt worn — replacement needed,M. Singh,7.9,Open,Preventive maintenance scheduled,Night,Cut-Off-Saw,Cut-Off-Saw
N20-010,2025-05-19,19:15,Motor-A,Encoder signal lost on servo axis,D. Mehta,4.1,Closed,Escalated to OEM,Night,Cut-Off-Saw,Cut-Off-Saw
N20-011,2025-05-19,23:15,PLC-Panel,PLC fault code F-204 — sensor error,B. Reddy,4.0,Closed,Repaired and tested OK,Night,Cut-Off-Saw,Cut-Off-Saw
N20-012,2025-05-10,19:45,Motor-B,Limit switch failure — door interlock,S. Kumar,5.1,Closed,Preventive maintenance scheduled,Night,Cut-Off-Saw,Cut-Off-Saw
D21-001,2025-05-24,10:45,Conveyor-Drive,Control panel display blank,M. Singh,4.2,Closed,Escalated to OEM,Day,Flying-Saw,Flying-Saw
D21-002,2025-05-20,12:30,PLC-Panel,Coolant pump not starting,N. Das,1.5,Closed,Root cause: wear and tear,Day,Flying-Saw,Flying-Saw
D21-003,2025-05-05,07:30,Pump-2,Air compressor pressure low,D. Mehta,6.9,Closed,Temporary fix applied,Day,Flying-Saw,Flying-Saw
D21-004,2025-05-16,06:15,Gearbox,Drive belt worn — replacement needed,M. Singh,8.0,Open,Escalated to OEM,Day,Flying-Saw,Flying-Saw
D21-005,2025-05-06,13:30,Cylinder-Main,Air compressor pressure low,N. Das,0.9,Closed,Temporary fix applied,Day,Flying-Saw,Flying-Saw
D21-006,2025-05-30,09:30,PLC-Panel,Chain elongation on drive chain,P. Gupta,3.9,Closed,Escalated to OEM,Day,Flying-Saw,Flying-Saw
D21-007,2025-05-20,14:30,Conveyor-Drive,Hydraulic leak in main cylinder,D. Mehta,1.4,Open,Root cause: wear and tear,Day,Flying-Saw,Flying-Saw
D21-008,2025-05-13,14:15,Cylinder-Main,Control panel display blank,S. Kumar,5.5,Closed,,Day,Flying-Saw,Flying-Saw
D21-009,2025-05-03,07:45,Cylinder-Main,Hydraulic valve stuck open,M. Singh,7.0,Closed,Escalated to OEM,Day,Flying-Saw,Flying-Saw
D21-010,2025-05-18,12:00,Motor-B,Coolant pump not starting,S. Kumar,2.2,Closed,Preventive maintenance scheduled,Day,Flying-Saw,Flying-Saw
D21-011,2025-05-09,10:45,Cylinder-Main,Hydraulic valve stuck open,S. Kumar,6.1,Closed,,Day,Flying-Saw,Flying-Saw
D21-012,2025-05-18,08:15,Motor-A,Pneumatic pressure drop in actuator,A. Patel,5.5,Open,Spare part ordered — pending,Day,Flying-Saw,Flying-Saw
D21-013,2025-05-25,08:45,Motor-B,PLC fault code F-204 — sensor error,P. Gupta,7.5,Closed,Repaired and tested OK,Day,Flying-Saw,Flying-Saw
D21-014,2025-05-31,12:00,Motor-B,Vibration high on spindle motor,N. Das,1.7,Closed,Resolved by operator adjustment,Day,Flying-Saw,Flying-Saw
D21-015,2025-05-22,09:15,Cylinder-Main,Hydraulic valve stuck open,M. Singh,1.5,Open,Repaired and tested OK,Day,Flying-Saw,Flying-Saw
N21-001,2025-05-30,23:30,Conveyor-Drive,Drive belt worn — replacement needed,V. Joshi,7.8,Closed,Preventive maintenance scheduled,Night,Flying-Saw,Flying-Saw
N21-002,2025-05-14,21:15,Pump-1,Water leakage in cooling system,N. Das,3.9,Closed,Resolved by operator adjustment,Night,Flying-Saw,Flying-Saw
N21-003,2025-05-15,23:30,Conveyor-Drive,Drive belt worn — replacement needed,B. Reddy,2.2,Closed,Preventive maintenance scheduled,Night,Flying-Saw,Flying-Saw
N21-004,2025-05-20,21:30,Pump-1,Oil contamination in gearbox,R. Sharma,0.5,Open,Temporary fix applied,Night,Flying-Saw,Flying-Saw
N21-005,2025-05-20,20:45,Motor-A,Electrical trip — overload relay,V. Joshi,7.6,Closed,Repaired and tested OK,Night,Flying-Saw,Flying-Saw
N21-006,2025-05-07,21:30,Pump-2,Hydraulic leak in main cylinder,B. Reddy,3.3,Closed,Resolved by operator adjustment,Night,Flying-Saw,Flying-Saw
N21-007,2025-05-19,19:15,Gearbox,Emergency stop triggered — unknown cause,A. Patel,2.5,Closed,Root cause: wear and tear,Night,Flying-Saw,Flying-Saw
N21-008,2025-05-15,22:30,Cylinder-Main,Chain elongation on drive chain,B. Reddy,6.6,Closed,Spare part ordered — pending,Night,Flying-Saw,Flying-Saw
N21-009,2025-05-26,19:30,Motor-B,Chain elongation on drive chain,V. Joshi,5.1,Closed,,Night,Flying-Saw,Flying-Saw
N21-010,2025-05-25,20:00,Pump-1,Motor overheating — bearing failure,B. Reddy,0.7,Open,Preventive maintenance scheduled,Night,Flying-Saw,Flying-Saw
N21-011,2025-05-23,19:45,Motor-A,Strip break at forming section,P. Gupta,1.6,Closed,Escalated to OEM,Night,Flying-Saw,Flying-Saw
N21-012,2025-05-18,20:45,Conveyor-Drive,Hydraulic valve stuck open,R. Sharma,3.0,Open,Temporary fix applied,Night,Flying-Saw,Flying-Saw
D22-001,2025-05-30,10:45,Motor-B,Air compressor pressure low,V. Joshi,1.9,Open,Preventive maintenance scheduled,Day,Strip-Feed,Strip-Feed
D22-002,2025-05-05,12:00,Motor-B,Coating thickness alarm,A. Patel,3.4,Open,Root cause: wear and tear,Day,Strip-Feed,Strip-Feed
D22-003,2025-05-08,06:15,PLC-Panel,Torch height error — cutting machine,P. Gupta,4.4,Open,,Day,Strip-Feed,Strip-Feed
D22-004,2025-05-19,10:30,Pump-1,Chain elongation on drive chain,R. Sharma,6.1,Closed,Spare part ordered — pending,Day,Strip-Feed,Strip-Feed
D22-005,2025-05-23,13:30,Pump-2,Control panel display blank,R. Sharma,7.0,Closed,Spare part ordered — pending,Day,Strip-Feed,Strip-Feed
D22-006,2025-05-24,12:30,Motor-A,Coolant pump not starting,K. Yadav,4.9,Closed,Root cause: wear and tear,Day,Strip-Feed,Strip-Feed
D22-007,2025-05-31,06:45,Pump-1,Control panel display blank,P. Gupta,2.4,Closed,Escalated to OEM,Day,Strip-Feed,Strip-Feed
D22-008,2025-05-02,06:00,Conveyor-Drive,Chain elongation on drive chain,M. Singh,5.8,Open,Temporary fix applied,Day,Strip-Feed,Strip-Feed
D22-009,2025-05-16,09:30,Conveyor-Drive,Hydraulic valve stuck open,A. Patel,0.7,Closed,Temporary fix applied,Day,Strip-Feed,Strip-Feed
D22-010,2025-05-23,06:45,PLC-Panel,Air compressor pressure low,K. Yadav,4.6,Closed,Temporary fix applied,Day,Strip-Feed,Strip-Feed
D22-011,2025-05-14,11:30,PLC-Panel,Vibration high on spindle motor,N. Das,7.4,Closed,Spare part ordered — pending,Day,Strip-Feed,Strip-Feed
D22-012,2025-05-15,08:45,Cylinder-Main,Vibration high on spindle motor,B. Reddy,3.3,Closed,Resolved by operator adjustment,Day,Strip-Feed,Strip-Feed
D22-013,2025-05-08,08:00,Conveyor-Drive,Coating thickness alarm,N. Das,2.3,Closed,Resolved by operator adjustment,Day,Strip-Feed,Strip-Feed
D22-014,2025-05-25,14:45,Pump-1,Lubrication system fault — low level,K. Yadav,2.9,Closed,Spare part ordered — pending,Day,Strip-Feed,Strip-Feed
D22-015,2025-05-28,14:00,Motor-A,Pneumatic pressure drop in actuator,M. Singh,7.1,Closed,,Day,Strip-Feed,Strip-Feed
N22-001,2025-05-25,18:00,Gearbox,Gear coupling worn — noise detected,V. Joshi,4.4,Closed,Preventive maintenance scheduled,Night,Strip-Feed,Strip-Feed
N22-002,2025-05-30,20:15,Motor-B,Hydraulic leak in main cylinder,A. Patel,5.4,Open,Spare part ordered — pending,Night,Strip-Feed,Strip-Feed
N22-003,2025-05-17,23:00,Conveyor-Drive,Air compressor pressure low,D. Mehta,6.7,Open,Repaired and tested OK,Night,Strip-Feed,Strip-Feed
N22-004,2025-05-05,22:30,Motor-A,Torch height error — cutting machine,P. Gupta,6.8,Closed,Root cause: wear and tear,Night,Strip-Feed,Strip-Feed
N22-005,2025-05-15,18:00,Pump-2,Air compressor pressure low,D. Mehta,1.9,Closed,Root cause: wear and tear,Night,Strip-Feed,Strip-Feed
N22-006,2025-05-13,23:15,Gearbox,Torch height error — cutting machine,P. Gupta,6.2,Closed,,Night,Strip-Feed,Strip-Feed
N22-007,2025-05-09,23:45,Motor-B,Coolant pump not starting,M. Singh,4.6,Closed,Temporary fix applied,Night,Strip-Feed,Strip-Feed
N22-008,2025-05-14,22:45,Conveyor-Drive,Limit switch failure — door interlock,B. Reddy,7.9,Closed,Escalated to OEM,Night,Strip-Feed,Strip-Feed
N22-009,2025-05-18,23:45,Conveyor-Drive,Lubrication system fault — low level,A. Patel,4.7,Closed,Preventive maintenance scheduled,Night,Strip-Feed,Strip-Feed
N22-010,2025-05-20,21:45,Gearbox,Hydraulic leak in main cylinder,R. Sharma,7.9,Closed,Temporary fix applied,Night,Strip-Feed,Strip-Feed
N22-011,2025-05-03,20:00,Cylinder-Main,Strip break at forming section,A. Patel,6.9,Closed,Preventive maintenance scheduled,Night,Strip-Feed,Strip-Feed
N22-012,2025-05-02,22:15,Motor-B,Motor overheating — bearing failure,V. Joshi,3.2,Closed,Escalated to OEM,Night,Strip-Feed,Strip-Feed
D23-001,2025-05-03,09:15,Cylinder-Main,Oil contamination in gearbox,P. Gupta,4.8,Closed,Root cause: wear and tear,Day,Entry-Coiler,Entry-Coiler
D23-002,2025-05-08,07:30,PLC-Panel,Coolant pump not starting,V. Joshi,6.7,Closed,Spare part ordered — pending,Day,Entry-Coiler,Entry-Coiler
D23-003,2025-05-12,10:00,Gearbox,Conveyor belt slip / misalignment,R. Sharma,7.4,Closed,Resolved by operator adjustment,Day,Entry-Coiler,Entry-Coiler
D23-004,2025-05-18,07:15,Motor-A,Chain elongation on drive chain,D. Mehta,0.9,Closed,Escalated to OEM,Day,Entry-Coiler,Entry-Coiler
D23-005,2025-05-14,08:30,Pump-2,Pneumatic pressure drop in actuator,R. Sharma,5.6,Open,,Day,Entry-Coiler,Entry-Coiler
D23-006,2025-05-07,14:00,Pump-2,Pipe OD out of spec — forming issue,K. Yadav,6.4,Closed,Escalated to OEM,Day,Entry-Coiler,Entry-Coiler
D23-007,2025-05-29,13:00,Gearbox,Vibration high on spindle motor,P. Gupta,3.5,Closed,Temporary fix applied,Day,Entry-Coiler,Entry-Coiler
D23-008,2025-05-07,08:45,Pump-2,Drive belt worn — replacement needed,D. Mehta,5.4,Closed,Root cause: wear and tear,Day,Entry-Coiler,Entry-Coiler
D23-009,2025-05-24,07:30,Gearbox,Limit switch failure — door interlock,N. Das,1.2,Closed,Resolved by operator adjustment,Day,Entry-Coiler,Entry-Coiler
D23-010,2025-05-20,11:15,Conveyor-Drive,Control panel display blank,N. Das,5.4,Open,Temporary fix applied,Day,Entry-Coiler,Entry-Coiler
D23-011,2025-05-20,13:15,PLC-Panel,Motor overheating — bearing failure,A. Patel,2.0,Closed,Spare part ordered — pending,Day,Entry-Coiler,Entry-Coiler
D23-012,2025-05-28,06:15,Pump-1,Oil contamination in gearbox,R. Sharma,3.1,Open,Preventive maintenance scheduled,Day,Entry-Coiler,Entry-Coiler
D23-013,2025-05-17,13:00,Conveyor-Drive,Weld seam out of tolerance,B. Reddy,2.1,Closed,Preventive maintenance scheduled,Day,Entry-Coiler,Entry-Coiler
D23-014,2025-05-14,13:15,Motor-A,Emergency stop triggered — unknown cause,N. Das,7.3,Closed,Preventive maintenance scheduled,Day,Entry-Coiler,Entry-Coiler
D23-015,2025-05-26,06:30,Pump-2,Electrical trip — overload relay,N. Das,2.5,Closed,Repaired and tested OK,Day,Entry-Coiler,Entry-Coiler
N23-001,2025-05-29,21:30,Conveyor-Drive,PLC fault code F-204 — sensor error,R. Sharma,2.7,Open,Resolved by operator adjustment,Night,Entry-Coiler,Entry-Coiler
N23-002,2025-05-24,21:00,Conveyor-Drive,Drive belt worn — replacement needed,N. Das,4.5,Closed,,Night,Entry-Coiler,Entry-Coiler
N23-003,2025-05-14,23:00,Motor-A,Strip break at forming section,B. Reddy,2.8,Closed,Temporary fix applied,Night,Entry-Coiler,Entry-Coiler
N23-004,2025-05-31,20:30,Conveyor-Drive,Chain elongation on drive chain,K. Yadav,2.3,Open,Preventive maintenance scheduled,Night,Entry-Coiler,Entry-Coiler
N23-005,2025-05-06,18:30,Gearbox,Hydraulic leak in main cylinder,B. Reddy,7.6,Closed,Escalated to OEM,Night,Entry-Coiler,Entry-Coiler
N23-006,2025-05-03,21:15,Motor-B,Torch height error — cutting machine,D. Mehta,4.4,Closed,Root cause: wear and tear,Night,Entry-Coiler,Entry-Coiler
N23-007,2025-05-18,19:15,Gearbox,Oil contamination in gearbox,N. Das,3.0,Closed,Root cause: wear and tear,Night,Entry-Coiler,Entry-Coiler
N23-008,2025-05-11,19:15,Pump-1,Oil contamination in gearbox,B. Reddy,7.3,Closed,Temporary fix applied,Night,Entry-Coiler,Entry-Coiler
N23-009,2025-05-11,22:15,Conveyor-Drive,Conveyor belt slip / misalignment,B. Reddy,4.5,Closed,Temporary fix applied,Night,Entry-Coiler,Entry-Coiler
N23-010,2025-05-21,19:00,Conveyor-Drive,Pipe OD out of spec — forming issue,D. Mehta,2.8,Closed,Preventive maintenance scheduled,Night,Entry-Coiler,Entry-Coiler
N23-011,2025-05-27,19:00,Pump-1,Coolant pump not starting,R. Sharma,6.2,Closed,Preventive maintenance scheduled,Night,Entry-Coiler,Entry-Coiler
N23-012,2025-05-12,22:15,Pump-2,Strip break at forming section,R. Sharma,3.2,Closed,,Night,Entry-Coiler,Entry-Coiler
D24-001,2025-05-27,14:45,Conveyor-Drive,Coolant pump not starting,D. Mehta,4.2,Closed,Root cause: wear and tear,Day,Exit-Table,Exit-Table
D24-002,2025-05-24,06:45,Motor-A,Vibration high on spindle motor,D. Mehta,2.2,Closed,Root cause: wear and tear,Day,Exit-Table,Exit-Table
D24-003,2025-05-07,09:00,Pump-1,Hydraulic valve stuck open,N. Das,4.2,Closed,,Day,Exit-Table,Exit-Table
D24-004,2025-05-03,09:45,Gearbox,Coating thickness alarm,R. Sharma,5.1,Open,Escalated to OEM,Day,Exit-Table,Exit-Table
D24-005,2025-05-19,14:00,Motor-B,Hydraulic valve stuck open,V. Joshi,6.7,Closed,Root cause: wear and tear,Day,Exit-Table,Exit-Table
D24-006,2025-05-15,14:45,Motor-A,Air compressor pressure low,D. Mehta,4.4,Closed,Repaired and tested OK,Day,Exit-Table,Exit-Table
D24-007,2025-05-25,10:45,Gearbox,Oil contamination in gearbox,K. Yadav,4.0,Closed,Repaired and tested OK,Day,Exit-Table,Exit-Table
D24-008,2025-05-09,14:15,PLC-Panel,Chain elongation on drive chain,V. Joshi,1.2,Closed,Temporary fix applied,Day,Exit-Table,Exit-Table
D24-009,2025-05-07,14:15,Gearbox,Pipe OD out of spec — forming issue,S. Kumar,3.9,Closed,Root cause: wear and tear,Day,Exit-Table,Exit-Table
D24-010,2025-05-03,13:00,Cylinder-Main,Limit switch failure — door interlock,M. Singh,5.9,Closed,Spare part ordered — pending,Day,Exit-Table,Exit-Table
D24-011,2025-05-09,13:30,Motor-B,Encoder signal lost on servo axis,D. Mehta,6.0,Open,Temporary fix applied,Day,Exit-Table,Exit-Table
D24-012,2025-05-19,14:45,Motor-A,Coating thickness alarm,M. Singh,7.3,Closed,Temporary fix applied,Day,Exit-Table,Exit-Table
D24-013,2025-05-26,08:15,Motor-A,Pipe OD out of spec — forming issue,K. Yadav,2.8,Open,,Day,Exit-Table,Exit-Table
D24-014,2025-05-22,08:00,Pump-1,Weld seam out of tolerance,R. Sharma,5.2,Closed,,Day,Exit-Table,Exit-Table
D24-015,2025-05-16,13:00,PLC-Panel,Strip break at forming section,A. Patel,4.9,Closed,Resolved by operator adjustment,Day,Exit-Table,Exit-Table
N24-001,2025-05-17,18:00,Pump-2,Air compressor pressure low,K. Yadav,5.1,Closed,Root cause: wear and tear,Night,Exit-Table,Exit-Table
N24-002,2025-05-30,19:15,Motor-A,Chain elongation on drive chain,S. Kumar,0.8,Open,Preventive maintenance scheduled,Night,Exit-Table,Exit-Table
N24-003,2025-05-21,18:00,Motor-B,Pipe OD out of spec — forming issue,M. Singh,1.7,Closed,Temporary fix applied,Night,Exit-Table,Exit-Table
N24-004,2025-05-17,23:30,Motor-A,Conveyor belt slip / misalignment,K. Yadav,2.9,Open,Spare part ordered — pending,Night,Exit-Table,Exit-Table
N24-005,2025-05-07,21:00,Cylinder-Main,Drive belt worn — replacement needed,M. Singh,1.4,Open,Escalated to OEM,Night,Exit-Table,Exit-Table
N24-006,2025-05-15,21:15,Pump-2,Lubrication system fault — low level,R. Sharma,1.3,Closed,Spare part ordered — pending,Night,Exit-Table,Exit-Table
N24-007,2025-05-16,23:30,Gearbox,Lubrication system fault — low level,S. Kumar,2.4,Closed,Escalated to OEM,Night,Exit-Table,Exit-Table
N24-008,2025-05-02,19:45,PLC-Panel,Drive belt worn — replacement needed,M. Singh,7.1,Closed,Preventive maintenance scheduled,Night,Exit-Table,Exit-Table
N24-009,2025-05-25,18:00,Motor-A,Hydraulic valve stuck open,P. Gupta,6.0,Closed,Resolved by operator adjustment,Night,Exit-Table,Exit-Table
N24-010,2025-05-18,18:30,Conveyor-Drive,Air compressor pressure low,A. Patel,0.6,Closed,Preventive maintenance scheduled,Night,Exit-Table,Exit-Table
N24-011,2025-05-23,18:30,Cylinder-Main,Encoder signal lost on servo axis,B. Reddy,2.9,Closed,Escalated to OEM,Night,Exit-Table,Exit-Table
N24-012,2025-05-21,21:00,Pump-1,Weld seam out of tolerance,S. Kumar,6.8,Open,,Night,Exit-Table,Exit-Table
D25-001,2025-05-02,13:00,Pump-1,Drive belt worn — replacement needed,M. Singh,5.2,Open,Escalated to OEM,Day,Run-Out-Table,Run-Out-Table
D25-002,2025-05-17,12:00,Cylinder-Main,Water leakage in cooling system,S. Kumar,4.7,Closed,Escalated to OEM,Day,Run-Out-Table,Run-Out-Table
D25-003,2025-05-06,11:00,Pump-1,Vibration high on spindle motor,R. Sharma,3.0,Closed,Temporary fix applied,Day,Run-Out-Table,Run-Out-Table
D25-004,2025-05-13,12:15,Motor-B,Coating thickness alarm,K. Yadav,5.8,Closed,Repaired and tested OK,Day,Run-Out-Table,Run-Out-Table
D25-005,2025-05-23,12:00,PLC-Panel,Strip break at forming section,S. Kumar,3.9,Open,Root cause: wear and tear,Day,Run-Out-Table,Run-Out-Table
D25-006,2025-05-15,10:15,Motor-B,Control panel display blank,R. Sharma,6.3,Open,,Day,Run-Out-Table,Run-Out-Table
D25-007,2025-05-15,06:45,Pump-1,Weld seam out of tolerance,S. Kumar,7.4,Closed,Preventive maintenance scheduled,Day,Run-Out-Table,Run-Out-Table
D25-008,2025-05-07,11:15,Motor-B,Encoder signal lost on servo axis,M. Singh,2.0,Closed,Resolved by operator adjustment,Day,Run-Out-Table,Run-Out-Table
D25-009,2025-05-09,14:00,Motor-A,Oil contamination in gearbox,R. Sharma,5.7,Closed,Spare part ordered — pending,Day,Run-Out-Table,Run-Out-Table
D25-010,2025-05-21,13:00,Motor-B,Encoder signal lost on servo axis,K. Yadav,0.7,Open,Root cause: wear and tear,Day,Run-Out-Table,Run-Out-Table
D25-011,2025-05-21,09:15,Cylinder-Main,Vibration high on spindle motor,B. Reddy,2.9,Closed,Spare part ordered — pending,Day,Run-Out-Table,Run-Out-Table
D25-012,2025-05-23,08:15,Cylinder-Main,PLC fault code F-204 — sensor error,R. Sharma,7.7,Closed,Spare part ordered — pending,Day,Run-Out-Table,Run-Out-Table
D25-013,2025-05-25,14:30,Conveyor-Drive,Vibration high on spindle motor,M. Singh,7.6,Open,Root cause: wear and tear,Day,Run-Out-Table,Run-Out-Table
D25-014,2025-05-26,07:30,Conveyor-Drive,Air compressor pressure low,V. Joshi,0.9,Closed,Repaired and tested OK,Day,Run-Out-Table,Run-Out-Table
D25-015,2025-05-28,12:00,Motor-B,Pipe OD out of spec — forming issue,D. Mehta,1.8,Closed,,Day,Run-Out-Table,Run-Out-Table
N25-001,2025-05-12,20:30,Conveyor-Drive,Weld seam out of tolerance,B. Reddy,1.1,Open,,Night,Run-Out-Table,Run-Out-Table
N25-002,2025-05-13,19:00,PLC-Panel,PLC fault code F-204 — sensor error,V. Joshi,2.8,Closed,,Night,Run-Out-Table,Run-Out-Table
N25-003,2025-05-16,19:15,Pump-1,Lubrication system fault — low level,K. Yadav,7.3,Closed,Escalated to OEM,Night,Run-Out-Table,Run-Out-Table
N25-004,2025-05-06,20:45,PLC-Panel,Hydraulic leak in main cylinder,P. Gupta,4.1,Closed,,Night,Run-Out-Table,Run-Out-Table
N25-005,2025-05-04,19:30,Conveyor-Drive,Lubrication system fault — low level,N. Das,1.5,Closed,Spare part ordered — pending,Night,Run-Out-Table,Run-Out-Table
N25-006,2025-05-21,22:00,Cylinder-Main,Air compressor pressure low,V. Joshi,3.5,Closed,Root cause: wear and tear,Night,Run-Out-Table,Run-Out-Table
N25-007,2025-05-14,19:45,Gearbox,Conveyor belt slip / misalignment,S. Kumar,2.1,Closed,Resolved by operator adjustment,Night,Run-Out-Table,Run-Out-Table
N25-008,2025-05-06,21:30,Pump-2,Coolant pump not starting,P. Gupta,6.0,Closed,,Night,Run-Out-Table,Run-Out-Table
N25-009,2025-05-28,22:45,Conveyor-Drive,Air compressor pressure low,P. Gupta,6.7,Closed,Resolved by operator adjustment,Night,Run-Out-Table,Run-Out-Table
N25-010,2025-05-29,22:00,Gearbox,Limit switch failure — door interlock,V. Joshi,5.3,Closed,Root cause: wear and tear,Night,Run-Out-Table,Run-Out-Table
N25-011,2025-05-05,19:00,Pump-1,Gear coupling worn — noise detected,M. Singh,3.9,Closed,,Night,Run-Out-Table,Run-Out-Table
N25-012,2025-05-25,19:30,Cylinder-Main,Water leakage in cooling system,K. Yadav,7.4,Open,Escalated to OEM,Night,Run-Out-Table,Run-Out-Table
D26-001,2025-05-29,06:45,Pump-1,Oil contamination in gearbox,R. Sharma,3.3,Closed,Repaired and tested OK,Day,Compressor-1,Compressor-1
D26-002,2025-05-31,14:30,Motor-B,Oil contamination in gearbox,R. Sharma,2.3,Closed,Resolved by operator adjustment,Day,Compressor-1,Compressor-1
D26-003,2025-05-11,11:45,Gearbox,Emergency stop triggered — unknown cause,D. Mehta,4.6,Closed,,Day,Compressor-1,Compressor-1
D26-004,2025-05-27,09:45,Conveyor-Drive,Pipe OD out of spec — forming issue,M. Singh,2.7,Open,Temporary fix applied,Day,Compressor-1,Compressor-1
D26-005,2025-05-27,06:00,Motor-A,Pneumatic pressure drop in actuator,V. Joshi,5.4,Open,Temporary fix applied,Day,Compressor-1,Compressor-1
D26-006,2025-05-29,08:45,PLC-Panel,Electrical trip — overload relay,N. Das,7.5,Closed,,Day,Compressor-1,Compressor-1
D26-007,2025-05-15,12:45,Gearbox,Control panel display blank,A. Patel,1.9,Closed,,Day,Compressor-1,Compressor-1
D26-008,2025-05-04,09:30,Gearbox,Air compressor pressure low,N. Das,3.3,Open,,Day,Compressor-1,Compressor-1
D26-009,2025-05-09,11:00,PLC-Panel,Electrical trip — overload relay,P. Gupta,1.6,Closed,Preventive maintenance scheduled,Day,Compressor-1,Compressor-1
D26-010,2025-05-17,14:00,Motor-B,Strip break at forming section,V. Joshi,5.2,Closed,Spare part ordered — pending,Day,Compressor-1,Compressor-1
D26-011,2025-05-10,14:30,Motor-A,Limit switch failure — door interlock,B. Reddy,6.3,Closed,,Day,Compressor-1,Compressor-1
D26-012,2025-05-13,11:45,Conveyor-Drive,Oil contamination in gearbox,K. Yadav,1.8,Closed,Preventive maintenance scheduled,Day,Compressor-1,Compressor-1
D26-013,2025-05-08,10:00,PLC-Panel,Water leakage in cooling system,M. Singh,4.8,Closed,Preventive maintenance scheduled,Day,Compressor-1,Compressor-1
D26-014,2025-05-06,06:30,PLC-Panel,Conveyor belt slip / misalignment,M. Singh,4.3,Open,Preventive maintenance scheduled,Day,Compressor-1,Compressor-1
D26-015,2025-05-23,08:30,Cylinder-Main,Vibration high on spindle motor,R. Sharma,6.1,Closed,Temporary fix applied,Day,Compressor-1,Compressor-1
N26-001,2025-05-10,21:30,Pump-1,Vibration high on spindle motor,A. Patel,4.1,Open,Repaired and tested OK,Night,Compressor-1,Compressor-1
N26-002,2025-05-21,18:15,Pump-1,Drive belt worn — replacement needed,D. Mehta,6.3,Closed,,Night,Compressor-1,Compressor-1
